ANO_ENTREGA;COMUNA;DIRECCION;ESTADO;FECHA_ENTR;FECHA_PUBLICACION;INMOBILIARIA;MODALIDAD;N_BANOS;N_DORMITORIOS;MONEDA;REGION;TIPO;PRECIO_DESPLIEGUE;UF;UF_DESDE;UF_HASTA;M2_TOTALES;M2_CONSTRUIDOS;M2_DESDE;M2_HASTA
;VINA DEL MAR;ARRIENDO DE OFICINAS EN EDIFICIO SAN ANTONIO CENTRO;USADA;;27-04-2018;;ARRIENDO;1;1;UF;V;OFICINAS;UF 10,54;10,54;;;28;28;;
;VINA DEL MAR;CALLE QUILLOTA;USADA;;13-10-2018;;ARRIENDO;1;;UF;V;OFICINAS;UF 10,80;10,80;;;;;;
;VINA DEL MAR;10 NORTE;USADA;;24-05-2019;;ARRIENDO;2;1;UF;V;OFICINAS;UF 10,80;10,80;;;12;12;;
;VALPARAISO;URUGUAY 556;USADA;;25-04-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 10,85;10,85;;;;45;;
;LOS ANDES;ARRIENDO OFICINA EN EL CENTRO DE LOS AND;USADA;;25-02-2019;;ARRIENDO;1;;UF;V;OFICINAS;UF 10,89;10,89;;;;27;;
;VINA DEL MAR;1 PONIENTE / 2 NORTE;USADA;;05-12-2018;;ARRIENDO;1;;UF;V;OFICINAS;UF 11,00;11,00;;;;8;;
;VINA DEL MAR;ARRIENDO OFICINAS DESDE 27 MT2 PLAN VIN;USADA;;24-01-2019;;ARRIENDO;;;UF;V;OFICINAS;UF 11,00;11,00;;;;27;;
;LOS ANDES;ARGENTINA S/N;USADA;;23-08-2018;;ARRIENDO;1;1;UF;V;OFICINAS;UF 11,01;11,01;;;;20;;
;VINA DEL MAR;ARLEGUI;USADA;;16-08-2017;;ARRIENDO;1;2;UF;V;OFICINAS;UF 11,27;11,27;;;;30;;
;CONCON;STRIP CENTER EN MEJOR AV CONCON RENACA;USADA;;12-06-2019;;ARRIENDO;1;2;UF;V;OFICINAS;UF 11,51;11,51;;;;28;;
;CONCON;COMODA OFICINA EN RENACA NORTE;USADA;;02-06-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 11,52;11,52;;;;28;;
;CONCON;CONSULTA U OFICINA;USADA;;11-05-2019;;ARRIENDO;1;2;UF;V;OFICINAS;UF 11,53;11,53;;;10000;28;;
;CONCON;EDMUNDO ELUCHANS 3055;USADA;;24-12-2018;;ARRIENDO;1;2;UF;V;OFICINAS;UF 11,54;11,54;;;;28;;
;BUIN;COND. VALLE ARAUCARIAS 60;USADA;;30-05-2019;;ARRIENDO;3;3;UF;RM;CASAS;UF 21,61;21,61;;;280;115;;
;COLINA;PARQUE BRISAS NORTE;USADA;;03-05-2019;;ARRIENDO;3;3;UF;RM;CASAS;UF 21,61;21,61;;;327;115;;
;COLINA;GENERAL SAN MARTIN;USADA;;29-05-2019;;ARRIENDO;3;3;UF;RM;CASAS;UF 21,62;21,62;;;210;110;;
;LA FLORIDA;JARDIN DEL EDEN/JARDIN ALTO;USADA;;28-05-2019;;ARRIENDO;2;4;UF;RM;CASAS;UF 21,62;21,62;;;169;78;;
;COLINA;SANTA ELENA SUR CON SAN MIGUEL;USADA;;27-05-2019;;ARRIENDO;2;3;UF;RM;CASAS;UF 21,62;21,62;;;2500;100;;
;PUDAHUEL;NIDO DE CONDORNIZ ORIENTE;USADA;;04-04-2019;;ARRIENDO;3;4;UF;RM;CASAS;UF 21,63;21,63;;;220;120;;
;SAN BERNARDO;ALICAHUE;USADA;;14-05-2019;;ARRIENDO;3;4;UF;RM;CASAS;UF 21,63;21,63;;;160;160;;
;COLINA;CAMINO INTERIOR;USADA;;16-05-2019;;ARRIENDO;3;3;UF;RM;CASAS;UF 21,63;21,63;;;239;142;;
;PUENTE ALTO;HACIENDA EL PENON;USADA;;19-05-2019;;ARRIENDO;3;4;UF;RM;CASAS;UF 21,64;21,64;;;270;94;;
;QUILICURA;LAS TORRES / MARCOLETA;USADA;;18-05-2019;;ARRIENDO;3;3;UF;RM;CASAS;UF 21,64;21,64;;;180;115;;
;COLINA;AYRES DE CHICUREO/AUTOPISTA LOS LIBERTAD;USADA;;15-05-2019;;ARRIENDO;3;4;UF;RM;CASAS;UF 21,64;21,64;;;350;108;;
;COLINA;CAMINO SANTA LUISA;USADA;;14-05-2019;;ARRIENDO;3;2;UF;RM;CASAS;UF 21,65;21,65;;;750;120;;
;CALERA DE TANGO;CONDOMINIO EL PARRON E4;USADA;;13-05-2019;;ARRIENDO;2;3;UF;RM;CASAS;UF 21,65;21,65;;;3000;100;;
;CURACAVI;RUTA 68 / CUESTA ZAPATA;USADA;;09-05-2019;;ARRIENDO;3;3;UF;RM;CASAS;UF 21,66;21,66;;;2000;140;;
;COLINA;AYRES DE CHICUREO/COLINA;USADA;;06-05-2019;;ARRIENDO;3;4;UF;RM;CASAS;UF 21,67;21,67;;;380;108;;
;COLINA;LOFT EN SECTOR LO ARCAYA;USADA;;03-05-2019;;ARRIENDO;2;2;UF;RM;CASAS;UF 21,68;21,68;;;500;100;;
;CURACAVI;CAMINO CUESTA BARRIGA;USADA;;18-04-2019;;ARRIENDO;3;4;UF;RM;CASAS;UF 21,68;21,68;;;1300;200;;
;COLINA;AYRES DE CHICUREO;USADA;;28-04-2019;;ARRIENDO;2;4;UF;RM;CASAS;UF 21,69;21,69;;;350;120;;
;TALAGANTE;CARAMPANGUE PARCELA CON CASA / REBAJADO;USADA;;23-04-2019;;ARRIENDO;2;3;UF;RM;CASAS;UF 21,72;21,72;;;2000;180;;
;TALAGANTE;REABAJADO CARAMPANGUE PARCELA CON CASA;USADA;;23-04-2019;;ARRIENDO;2;3;UF;RM;CASAS;UF 21,72;21,72;;;2000;180;;
